"","any_state","any_location","any_both_sexes_2007","any_males_2007","any_females_2007","binge_both_sexes_2007","binge_males_2007","binge_females_2007"
"1","Oregon","Malheur County",44.6,55.6,34,15.7,23.5,8.2
"2","Oregon","Jefferson County",49.7,57.9,41.8,15.2,20.6,10
"3","Oregon","Morrow County",50.9,60.2,41.8,17.1,23.9,10.5
"4","Oregon","Umatilla County",51.1,59.6,42.9,16.4,23,10.1
"5","Oregon","Harney County",54.3,63.8,45.3,17.4,24.7,10.3
"6","Oregon","Douglas County",54.4,59.5,49.5,16.9,22.2,11.9
"7","Oregon","Union County",54.4,60.7,48.4,16.5,22.4,10.9
"8","Oregon","Linn County",55.1,61.5,49,16.9,22.4,11.5
"9","Oregon","Marion County",55.1,62.3,48.2,15.6,20.4,10.9
"10","Oregon","Baker County",55.3,62.7,48.1,17.2,23.2,11.4
"11","Oregon","Yamhill County",55.8,63.4,48.5,16.3,22,10.7
"12","Oregon","Wasco County",56.2,64.3,48.4,17,22.2,11.9
"13","Oregon","Coos County",56.6,64.1,49.4,18.9,25.4,12.6
"14","Oregon","Josephine County",56.6,62.2,51.2,17.3,23.5,11.2
"15","Oregon","Polk County",57,62.5,51.7,16.4,21.8,11.1
"16","Oregon","Klamath County",57.1,64.6,49.8,17.8,23.9,12
"17","Oregon","Crook County",57.3,63.4,51.4,16.4,22.6,10.4
"18","Oregon","Hood River County",57.6,66.1,49.4,16.6,23.2,10.1
"19","Oregon","Grant County",58.1,66.7,49.8,19.9,27,13
"20","Oregon","Wallowa County",58.2,64.5,52,17.7,24,11.5
"21","Oregon","Lake County",58.6,65.5,51.9,19.8,26.4,13.3
"22","Oregon","Wheeler County",58.6,63.2,54.1,18.1,22.9,13.5
"23","Oregon","Jackson County",59.5,64.6,54.5,17.8,23.3,12.5
"24","Oregon","Tillamook County",59.7,65.8,53.8,18.1,24,12.5
"25","Oregon","Columbia County",59.8,66.8,53.1,18.7,24.9,12.7
"26","Oregon","Oregon",60.1,66,54.5,17.6,22.9,12.4
"27","Oregon","Lincoln County",60.5,66.9,54.3,18.2,24.4,12.3
"28","Oregon","Curry County",60.9,66.6,55.4,18.4,24.8,12.3
"29","Oregon","Lane County",60.9,66.9,55.1,18,23.2,13
"30","Oregon","Sherman County",61,66.9,55.3,18.6,25.3,12.2
"31","Oregon","Washington County",61.8,67.6,56.2,16,21.4,10.9
"32","Oregon","Clackamas County",62.1,67.3,57.1,17.1,22.2,12.1
"33","Oregon","Clatsop County",62.5,68.1,57.1,19.9,25.9,14
"34","Oregon","Multnomah County",63.8,68.7,59,19.4,24.3,14.7
"35","Oregon","Benton County",64.4,69.3,59.7,17.3,21.9,12.8
"36","Oregon","Gilliam County",64.7,69.9,59.7,21.7,26.4,17.2
"37","Oregon","Deschutes County",66.4,72.2,60.8,18.2,24,12.6
