"","state","max","min"
"1","Alabama",16.9,8.6
"2","Alaska",27.6,14.6
"3","Arizona",22.7,14.9
"4","Arkansas",19.2,12.1
"5","California",24,15
"6","Colorado",31.9,9.2
"7","Connecticut",21.6,18.2
"8","Delaware",20.9,17.5
"9","District Of Columbia",22,22
"10","Florida",25,12.1
"11","Georgia",18.4,10.4
"12","Hawaii",22.6,19.7
"13","Idaho",29.2,5.9
"14","Illinois",32.6,14.7
"15","Indiana",24.6,14.1
"16","Iowa",32.3,20.4
"17","Kansas",24,14.2
"18","Kentucky",27.3,8.5
"19","Louisiana",23,11.5
"20","Maine",22.1,18.2
"21","Maryland",24,14.8
"22","Massachusetts",24.1,20.5
"23","Michigan",33.3,18.5
"24","Minnesota",30.6,19.7
"25","Mississippi",18.5,9
"26","Missouri",24.4,13.5
"27","Montana",33.2,18.2
"28","Nebraska",35.2,16.3
"29","Nevada",33.8,16.2
"30","New Hampshire",22.4,18.7
"31","New Jersey",22.6,16
"32","New Mexico",20.1,12.4
"33","New York",23,16.1
"34","North Carolina",20.1,10.8
"35","North Dakota",34.2,20.9
"36","Ohio",27.1,13.7
"37","Oklahoma",18,11
"38","Oregon",23.6,15.1
"39","Pennsylvania",28.1,14.6
"40","Rhode Island",23.2,19.4
"41","South Carolina",23.6,11.9
"42","South Dakota",32.8,17.4
"43","Tennessee",16.3,7.1
"44","Texas",35.5,10.8
"45","Utah",18,6.5
"46","Vermont",23.4,19.4
"47","Virginia",25.6,9.1
"48","Washington",21.4,14.7
"49","West Virginia",16,9
"50","Wisconsin",36,23.2
"51","Wyoming",27.2,14.4
